,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,adjoe,pfr,pid,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ROUND
887,20,17.1,75.9,25.0,45.8,47.34,6.0,10.3,6.2,29.6,9,16,0.563,26,46,0.565,1,14,0.071,0.0,2.5,26.7,79.3996,5.4,48385,0.33333332,25.0,36.0,1.0,10.0,0.6944,0.1,3.0,3.0,1.0,108.969,109.107,0.615748,32.5347,-9.11471,-6.67785,-2.43687,-8.83865,9.5217,-6.21547,-2.62319,0.5217,1.0,1.5217,0.3913,0.3478,0.0,3.5652,0.0
888,17,6.2,67.0,19.1,34.4,42.93,0.0,10.0,11.5,39.1,6,8,0.75,1,6,0.167,3,10,0.3,0.0,2.9,50.0,66.4255,3.9,22792,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.157,98.6402,0.459032,14.2717,-6.39511,-6.18201,-0.213103,-7.84617,4.8235,-7.07953,-0.766631,0.0,0.4118,0.4118,0.2941,0.2353,0.0,1.0,0.0
889,26,35.7,91.5,15.0,47.4,51.32,5.5,16.0,10.2,26.2,24,40,0.6,21,44,0.477,4,13,0.308,3.0,2.3,70.2,85.0016,4.6,71574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,31,29.6,107.1,18.4,56.7,57.13,10.9,13.7,13.5,19.9,22,39,0.564,51,89,0.573,0,1,0.0,1.9,1.5,43.3,110.177,2.2,33438,0.95827952,43.0,66.0,8.0,23.0,0.6515,0.3478,5.0,5.0,1.0,98.0072,92.9064,1.52608,69.4828,3.86597,1.64541,2.22056,5.92655,12.9032,3.58637,2.34018,1.1613,1.6452,2.8065,0.7419,0.3226,0.2258,4.0,0.0
891,18,73.9,80.2,20.9,43.7,46.01,1.4,8.5,20.3,28.2,24,38,0.632,45,99,0.455,16,59,0.271,0.2,2.4,24.1,77.516,2.9,51866,0.7894654,31.0,59.0,14.0,40.0,0.5254,0.35,0.0,0.0,0.0,100.578,112.735,1.47602,90.6683,-7.8531,-5.06843,-2.78466,-7.48969,29.5556,-5.18299,-2.3067,0.3889,2.2222,2.6111,2.5,1.2778,0.0556,9.0,0.0
892,18,10.2,116.9,11.8,51.6,51.61,4.4,7.1,6.9,3.8,0,0,0.0,1,7,0.143,10,24,0.417,2.6,0.4,0.0,99.9061,5.4,70485,2.66620013,1.0,3.0,0.0,4.0,0.3333,0.0,0.0,0.0,0.0,118.193,120.072,0.175537,17.8859,-3.58527,0.993768,-4.57904,-4.04784,8.1905,-0.227875,-3.81996,0.381,0.619,1.0,0.381,0.1905,0.1429,2.5238,0.0
893,8,0.7,73.5,20.3,0.0,0.0,55.9,25.3,0.0,33.2,0,2,0.0,0,0,0.0,0,0,0.0,0.0,6.8,0.0,71.9706,4.4,23447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.942,90.3402,0.140568,2.69821,-13.0592,-7.24355,-5.81563,-0.818279,1.125,0.754635,-1.57291,0.5,0.25,0.75,0.0,0.125,0.0,0.0,0.0
894,13,5.7,101.3,13.4,50.0,48.94,11.3,10.9,0.0,13.2,3,7,0.429,6,11,0.545,0,1,0.0,1.6,1.8,58.3,88.4695,5.8,38059,1.0,5.0,8.0,1.0,3.0,0.625,0.3333,0.0,0.0,0.0,99.9668,100.899,0.48814,11.6578,-6.49141,-3.56322,-2.92819,-6.52293,6.5714,-4.48442,-2.03851,0.5714,1.1429,1.7143,0.2143,0.1429,0.0714,1.0714,0.0
895,6,1.1,145.5,18.0,71.4,71.43,0.0,7.9,19.7,0.0,0,0,0.0,5,7,0.714,0,0,0.0,0.0,0.0,0.0,136.279,2.9,41424,0.0,3.0,4.0,2.0,3.0,0.75,0.6667,0.0,0.0,0.0,108.822,112.729,0.135367,1.91607,2.12556,6.29867,-4.17312,3.58432,2.3333,4.03886,-0.454539,0.0,0.1667,0.1667,0.1667,0.0,0.0,1.6667,0.0
896,9,19.6,91.6,24.9,44.3,47.45,11.5,20.4,6.5,17.5,13,19,0.684,25,53,0.472,4,17,0.235,1.1,2.0,27.1,91.9945,3.1,70484,0.400012,19.0,33.0,6.0,20.0,0.5758,0.3,4.0,5.0,0.8,101.722,107.524,1.49112,40.5993,-7.31705,-3.29058,-4.02647,-4.49895,21.7778,-1.9523,-2.54665,2.2222,4.2222,6.4444,0.6667,0.7778,0.2222,8.3333,0.0
897,9,24.9,93.4,27.4,42.9,49.03,0.8,10.6,36.3,21.4,35,51,0.686,39,86,0.453,0,5,0.0,0.5,1.7,56.0,96.2788,2.6,25667,1.55556663,17.0,31.0,22.0,55.0,0.5484,0.4,0.0,0.0,0.0,106.608,110.889,2.09403,42.876,-4.74956,-2.45385,-2.29571,-4.27802,32.5556,-2.47689,-1.80113,0.2222,2.6667,2.8889,4.6667,0.8889,0.1111,12.5556,0.0
898,21,26.5,89.6,28.4,40.7,44.71,2.9,11.7,19.9,17.1,38,62,0.613,44,111,0.396,10,34,0.294,0.0,2.9,42.8,96.4958,3.4,42390,1.13787111,34.0,66.0,10.0,45.0,0.5152,0.2222,1.0,1.0,1.0,97.3135,100.452,1.58752,62.3709,-2.33239,-2.1923,-0.140087,-1.44496,16.1905,-2.03453,0.589564,0.4286,1.7143,2.1429,1.5714,0.8095,0.0,7.4286,0.0
899,31,78.1,113.5,19.5,56.0,60.76,1.5,6.3,13.6,17.1,87,98,0.888,28,71,0.394,100,247,0.405,0.5,1.9,30.8,113.939,3.3,42369,1.08199556,15.0,27.0,13.0,44.0,0.5556,0.2955,0.0,0.0,0.0,108.404,107.976,2.32764,158.176,1.9399,3.43399,-1.49409,2.25818,30.7188,2.74135,-0.483166,0.4375,1.7812,2.2188,2.0625,1.0625,0.1562,14.4062,0.0
900,28,41.2,72.9,25.1,33.6,40.6,1.8,8.1,25.0,31.2,50,82,0.61,17,63,0.27,18,68,0.265,0.2,2.0,62.6,74.8698,5.1,16784,0.91044343,13.0,40.0,4.0,23.0,0.325,0.1739,0.0,0.0,0.0,106.279,108.957,1.02968,81.8824,-8.7881,-5.81668,-2.97141,-9.53217,17.2143,-6.72788,-2.80428,0.2857,1.3214,1.6071,2.1786,0.6071,0.0357,4.9286,0.0
901,13,1.2,51.4,17.2,21.4,21.43,0.0,13.1,0.0,0.0,0,0,0.0,0,0,0.0,1,7,0.143,0.0,3.4,0.0,48.8298,5.0,42139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.195,99.8613,0.12308,3.37131,-10.6924,-6.38736,-4.30504,-13.5699,1.2308,-10.967,-2.60289,0.0,0.1538,0.1538,0.0,0.0769,0.0,0.2308,0.0
902,23,20.9,92.9,20.7,45.0,47.86,10.2,22.4,7.7,20.5,19,33,0.576,21,37,0.568,7,33,0.212,4.0,1.8,47.1,95.3006,3.5,19129,0.52632854,19.0,22.0,2.0,15.0,0.8636,0.1333,6.0,6.0,1.0,92.741,94.7876,1.25479,57.8754,0.726802,-0.330735,1.05754,-0.823379,11.4348,-0.882628,0.0592492,1.0,2.3043,3.3043,0.4348,0.3478,0.4783,3.5652,0.0
903,31,70.2,95.9,18.8,49.4,48.98,12.1,14.3,3.3,18.3,49,109,0.45,114,231,0.494,0,0,0.0,2.2,1.7,47.2,94.1398,4.4,14001,0.26922618,91.0,164.0,23.0,67.0,0.5549,0.3433,19.0,22.0,0.8636,101.729,102.321,2.39753,158.75,-1.17588,-1.1795,0.00362606,-2.30904,28.4194,-1.83325,-0.475788,3.1935,3.5806,6.7742,0.4516,0.8065,0.6129,8.9355,0.0
904,34,74.9,114.7,23.5,53.9,58.55,7.7,18.4,8.1,13.5,138,195,0.708,145,274,0.529,18,45,0.4,2.2,1.9,61.1,120.308,3.4,6157,0.75474723,100.0,144.0,45.0,130.0,0.6944,0.3462,9.0,10.0,0.9,93.9048,91.9808,3.63349,202.149,4.04823,2.62676,1.42148,4.62482,30.2941,3.40031,1.22451,1.8824,4.8529,6.7353,1.1765,0.9412,0.5882,14.1765,0.0
905,33,78.8,111.7,24.4,54.2,56.15,17.5,20.7,6.1,16.9,95,151,0.629,205,378,0.542,0,0,0.0,1.8,1.9,39.9,113.68,3.7,273,0.39190153,166.0,282.0,39.0,96.0,0.5887,0.4063,14.0,15.0,0.9333,93.4564,100.544,2.83898,224.218,0.985896,1.89945,-0.913558,1.76048,31.5152,3.41144,-1.65096,4.9394,5.9394,10.8788,0.8788,1.0303,0.5455,15.303,0.0
906,4,2.9,71.6,33.2,45.5,50.68,0.0,20.6,19.5,39.9,5,8,0.625,2,5,0.4,2,6,0.333,0.0,8.3,72.7,80.8655,3.3,6177,0.375,2.0,4.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,85.3031,87.134,1.22955,10.6453,-1.5762,-6.37832,4.80212,-2.59579,9.0,-5.58696,2.99116,0.0,1.5,1.5,0.75,1.25,0.0,3.75,0.0
907,10,10.3,84.0,17.9,40.3,43.36,1.1,5.8,6.9,17.5,6,10,0.6,5,14,0.357,5,17,0.294,1.9,0.0,32.3,84.2369,2.9,65566,0.66666665,2.0,3.0,3.0,11.0,0.6667,0.2727,0.0,0.0,0.0,109.271,105.173,0.858227,14.3123,-4.32523,-2.64429,-1.68094,-4.30012,11.2,-2.39601,-1.90411,0.1,0.6,0.7,0.4,0.0,0.2,3.1,0.0
908,10,8.3,61.6,10.4,25.0,25.0,10.1,18.2,6.2,41.4,0,0,0.0,2,8,0.25,0,0,0.0,7.1,0.7,0.0,54.004,6.5,72357,0.83318058,2.0,7.0,0.0,1.0,0.2857,0.0,1.0,2.0,0.5,104.813,103.519,0.658939,15.1503,-3.46444,-6.17684,2.7124,-5.41905,8.2727,-6.43483,1.01577,0.8182,1.3636,2.1818,0.4545,0.0909,0.4545,0.9091,0.0
909,34,78.3,101.6,21.7,50.0,51.97,4.2,7.6,18.0,18.0,75,123,0.61,78,175,0.446,69,188,0.367,0.3,2.3,33.9,100.984,3.3,17532,1.1891569,45.0,83.0,32.0,92.0,0.5422,0.3478,0.0,0.0,0.0,101.644,107.783,2.01134,170.497,-1.35317,0.627179,-1.98035,-0.222678,31.6765,0.907042,-1.12972,1.2941,2.0882,3.3824,2.5882,1.2647,0.0882,12.8824,0.0
